id	comment	character	yes	no	voice	scene
302001	동생아, 저 앞에 보이는 나무 위로 올라가자! 호랑이의 두툼한 발로는 나무를 올라가지 못할 거야.	BOY NARR				302
302002	오누이가 나무를 향해 뛰기 시작했어요. 	NARR				
303001	나무에 도착한 오누이는 호랑이에게 잡히지 않기 위해 나무를 타고 올라가기 시작했어요.	NARR				
303002	동생아, 호랑이는 아직 눈치채지 못한 것 같아. 걱정하지 말고 조심히 올라가렴.	BOY				
303003	제한 시간 안에 일정 횟수의 스페이스바를 연타하는 미니게임	NARR				303
304001	조용해진 방에 뒤늦게 오누이가 사라진 것을 알게 된 호랑이는 뒷문으로 나와 나무 위에 있는 오누이를 발견했어요.	NARR				304
305001	다행히도 이미 오누이는 나무 꼭대기까지 올라간 뒤였지요. 다급해진 호랑이는 나무로 달려갔지만 자신의 발로는 절대 올라가지 못할 것 같았어요.	NARR				
305002	동생아, 오빠 말이 맞지? 호랑이 발로는 나무에 올라올 수 없어.	BOY				305
306001	무슨 방법이 없을까?	TIGER				306
306002	그때 호랑이의 눈앞에 참기름과 도끼의 도구가 보였어요.	NARR				307
308001	이걸 사용해서 올라가야겠어! 무엇을 골라야 할까?	TIGER	301009	301008		308
309001	도끼를 발견한 호랑이는 나무를 찍으며 올라가기 시작했어요.	NARR				309
309002	너네 거기 서! 내가 나무를 못 오를 줄 알았니? 금방 따라잡아 주마!	TIGER				
310001	오빠, 어떡해! 호랑이가 따라 올라오고 있어!\n뭐? 어떡하지?	GIRL BOY				310
310002	쫓아 올라오는 호랑이를 바라볼 수밖에 없던 오누이는 지푸라기라도 잡는 심정으로 눈물을 흘리며 하늘을 향해 두 손을 싹싹 빌며 말했어요.	NARR				311
312001	그러자 오누이의 딱함을 알아봐 준 하늘이 새 동아줄과 썩은 동아줄을 천천히 내려주었어요.	NARR				312
313001	어떤 동아줄을 고를까?	OHNUI	301014	301013		313
314001	하늘에서 내려온 두 개의 동아줄 중 무엇을 잡을지 고민하던 오누이는 동아줄 하나를 탁 잡았어요. 	NARR				314
315001	하지만 안타깝게도 오누이가 잡은 동아줄은 썩은 동아줄이었어요.	NARR				
315001	오빠, 동아줄이 왜 이렇게 휘청거리지? 나 너무 불안해.	GIRL				315
316001	무거운 힘을 버티지 못한 썩은 동아줄이 투둑 하고 점점 끊어지기 시작했어요.	NARR				
316001	동생아, 동아줄이 끊어지고 있어!	BOY				316
317001	오빠, 살려줘!	GIRL				317
317002	결국 썩은 동아줄은 끊어지고 말았고, 호랑이는 하늘에서 떨어지는 오누이를 바라볼 수밖에 없었어요. 	NARR				318
318001	그렇게 마을엔 잔잔한 바람만이 남았답니다.	NARR				
319001	하늘에서 내려온 두 개의 동아줄 중 무엇을 잡을지 고민하던 오누이는 튼튼한 새 동아줄을 탁 잡았어요. 	NARR				319
320001	그러자 새 동아줄이 하늘로 올라가기 시작했어요.	NARR				
320002	이야! 살았다! 하늘로 올라가고 있어!\n저 동아줄은 뭐야?	OHNUI				320
321001	눈앞에서 오누이가 하늘로 올라가는 모습을 본 호랑이는 잽싸게 나무 위로 올라가 오누이의 말을 똑같이 따라 말했어요.	NARR				321
321002	나도 똑같이 외치면 새 동아줄을 내려주시겠지? 	TIGER				
322001	큼큼! 하늘님, 나를 살리시려거든 새 동아줄을 내려주시고, 죽이시려거든 썩은 동아줄을 내려주십시오!	TIGER				322
323001	그러자 하늘에서 천둥번개가 우르르 쾅쾅하며 쏟아졌어요. \n오누이를 잡아먹으려고 한 호랑이에게 매우 노하신 하늘님은 천둥번개를 치며 썩은 동아줄만을 내려주었답니다.	NARR				323
324001	호랑이는 그런 줄도 모르고 옳다구나 하고 덥석 썩은 동아줄을 잡았지요.	NARR				
324002	하하! 역시 하늘님이셔. 얼른 오누이 잡으러 가볼까?	TIGER				324
325001	호랑이가 동아줄을 잡고 올라오자 오누이는 깜짝 놀랐어요.	NARR				325
325002	오빠, 저기 봐. 호랑이가 우릴 따라 하늘로 올라오고 있어! 	GIRL				
325003	오누이, 거기 서! 이번엔 절대 놓치지 않을 테야!	TIGER				
326001	그때였어요. 호랑이가 잡고 있던 동아줄에서 투둑 하는 소리가 들리고 점점 동아줄이 끊어지기 시작했어요. 	NARR TIGER				326
326002	어? 새 동아줄이 아니었단 말이야? 끊어지면 안 돼!	TIGER				
327001	결국 호랑이가 잡고 있던 썩은 동아줄은 끊어져 버렸고,	NARR				
327002	동생아, 호랑이가 잡고 있는 동아줄이 끊어지고 있어! 하늘님께서 썩은 동아줄을 내려 주신 모양이야. \n으악, 호랑이 살려!	BOY TIGER				327
328001	호랑이는 수수밭으로 떨어져 수수를 붉게 물들이게 되었답니다.	NARR				328
329001	호랑이가 떨어지자 오누이는 안심하였어요. 그리고 동아줄을 타고 계속해서 하늘 위로 올라갔지요.	NARR BOY GIRL				329
329002	\n오빠, 우리 살았어. 다행이야!\n정말 다행이야. 근데 우린 어디로 가는 걸까?	GIRL				
330001	하늘에 다다른 동아줄이 마침내 멈추고, 오누이는 하늘님에게 은혜를 어찌 갚을 수 있느냐 물었어요. 그러자 하늘님께서 이야기하기 시작했어요.\n잘 왔다, 오누이야. 마침 너희에게 맡길 일이 있었단다. 너희가 하늘의 해와 달이 되어 하늘을 지켜주지 않으련? 동생인 네가 햇님, 오빠인 네가 달님이 되거라.\n그렇게 오누이는 햇님과 달님이 되어 낮에는 온 세상에 화사한 빛을 비추고, 밤에는 밤길을 지나는 사람들에게 하나뿐인 빛을 주어 세상을 이롭게 해주었어요. \n그리고 둘은 오래오래 행복하게 살았답니다. 	NARR GOD				330
